year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,1,1.0,Adams,8,Central,Mostly Urban,32.6,71174,97.0,14.0,657.0,1609.0,72.0,3.0,21.0,6.0,136.3,19.7,923.1,2260.7,101.2,4.2,29.5,8.4
1982,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12056,183.0,7.0,162.0,392.0,12.0,1.0,25.0,5.0,1517.9,58.1,1343.7,3251.5,99.5,8.3,207.4,41.5
1982,3,5.0,Bond,3,Southern,Mostly Rural,60.7,16132,2.0,0.0,46.0,62.0,6.0,0.0,0.0,0.0,12.4,0.0,285.1,384.3,37.2,0.0,0.0,0.0
1982,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29213,14.0,0.0,259.0,732.0,56.0,0.0,5.0,0.0,47.9,0.0,886.6,2505.7,191.7,0.0,17.1,0.0
1982,5,9.0,Brown,8,Central,Mostly Urban,41.1,5588,0.0,0.0,8.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,143.2,823.2,0.0,0.0,0.0,0.0
1982,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38790,22.0,5.0,95.0,296.0,24.0,0.0,1.0,1.0,56.7,12.9,244.9,763.1,61.9,0.0,2.6,2.6
1982,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5739,0.0,0.0,17.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,296.2,174.2,34.8,0.0,0.0,0.0
1982,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18548,12.0,3.0,134.0,272.0,13.0,0.0,1.0,0.0,64.7,16.2,722.4,1466.5,70.1,0.0,5.4,0.0
1982,9,17.0,Cass,8,Central,Mostly Rural,52.1,14785,4.0,0.0,2.0,106.0,3.0,0.0,1.0,0.0,27.1,0.0,13.5,716.9,20.3,0.0,6.8,0.0
1982,10,19.0,Champaign,6,Central,Mostly Urban,12.7,171586,795.0,46.0,2712.0,6415.0,285.0,4.0,213.0,48.0,463.3,26.8,1580.5,3738.7,166.1,2.3,124.1,28.0
1982,11,21.0,Christian,4,Central,Mostly Urban,43.5,36279,8.0,3.0,59.0,490.0,11.0,0.0,7.0,1.0,22.1,8.3,162.6,1350.6,30.3,0.0,19.3,2.8
1982,12,23.0,Clark,5,Southern,Mostly Rural,59.5,17071,19.0,0.0,41.0,107.0,8.0,0.0,1.0,1.0,111.3,0.0,240.2,626.8,46.9,0.0,5.9,5.9
1982,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15706,14.0,3.0,156.0,166.0,7.0,0.0,0.0,0.0,89.1,19.1,993.3,1056.9,44.6,0.0,0.0,0.0
1982,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33597,13.0,2.0,115.0,208.0,15.0,1.0,0.0,2.0,38.7,6.0,342.3,619.1,44.6,3.0,0.0,6.0
1982,15,29.0,Coles,5,Central,Mostly Urban,24.3,52857,36.0,4.0,448.0,934.0,30.0,2.0,10.0,6.0,68.1,7.6,847.6,1767.0,56.8,3.8,18.9,11.4
1982,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5222484,11825.0,2407.0,57423.0,158738.0,43580.0,765.0,18765.0,1401.0,226.4,46.1,1099.5,3039.5,834.5,14.6,359.3,26.8
1982,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21292,9.0,1.0,93.0,214.0,9.0,0.0,0.0,0.0,42.3,4.7,436.8,1005.1,42.3,0.0,0.0,0.0
1982,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10966,8.0,1.0,17.0,100.0,3.0,0.0,0.0,0.0,73.0,9.1,155.0,911.9,27.4,0.0,0.0,0.0
1982,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,74399,43.0,19.0,523.0,1793.0,73.0,2.0,16.0,4.0,57.8,25.5,703.0,2410.0,98.1,2.7,21.5,5.4
1982,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17861,28.0,6.0,152.0,385.0,19.0,0.0,3.0,3.0,156.8,33.6,851.0,2155.5,106.4,0.0,16.8,16.8
1982,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19793,2.0,2.0,56.0,228.0,11.0,0.0,1.0,1.0,10.1,10.1,282.9,1151.9,55.6,0.0,5.1,5.1
1982,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,682289,681.0,187.0,6138.0,15210.0,1685.0,15.0,231.0,59.0,99.8,27.4,899.6,2229.3,247.0,2.2,33.9,8.6
1982,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21729,43.0,2.0,186.0,455.0,19.0,0.0,6.0,1.0,197.9,9.2,856.0,2094.0,87.4,0.0,27.6,4.6
1982,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8129,3.0,0.0,10.0,34.0,1.0,0.0,0.0,0.0,36.9,0.0,123.0,418.3,12.3,0.0,0.0,0.0
1982,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31167,19.0,6.0,271.0,548.0,32.0,0.0,15.0,2.0,61.0,19.3,869.5,1758.3,102.7,0.0,48.1,6.4
